nome,raio,Vlinha,raf,nfases,dfase,ncabos,dcabo,dens,crupt,cpcorr,RCC,tipo
DRAKE_MT,0.014055,34.5,0.1,3,0.9,2,0.2,0.1626,139600,890,0.000071918,LT
LILAC_MT,0.01305,34.5,0.1,3,1,1,0.2,0.1111,63820,,0.0000715,LT
MANAUS_MT,0.02195,34.5,0.1,3,1.3,2,0.2,0.3174,231000,1492,0.00002712,LT
ORCHID_MT,0.01165,34.5,0.1,3,1,1,0.2,0.8884,50440,,0.0000871,LT
PETUNIA_MT,0.01265,34.5,0.1,3,1,1,0.2,0.105,58560,,0.0000755,LT
DRAKE_AT,0.014055,230,0.1,3,4,2,0.36,0.1626,139600,890,0.000071918,LT
drake2_AT,0.014055,230,0.1,3,4,2,0.36,0.1626,139600,890,0.000071918,LT
FLINT_AT,0.012565,230,0.1,3,4,2,0.36,0.1035,107999,790,0.0000894,LT
EHS,0.0952,0,0.1,1,1,1,0.2,0.406,68646.55,,,PR
F0,0.0952,0,0.1,1,1,1,0.2,,,,,PR
OPGW,0.00895,0,0.1,1,,1,,0.1002,157720.35,,0.000291,PR
SCH40_MT,0.07065,34.5,0,3,1,1,,21.75,,,,barramento
conectores_MT,0.05,34.5,0.1,3,1,1,0.1,,,,,conector
conectores_AT,0.05,230,0.1,3,4,1,0.4,,,,,conector
disjuntores_MT,0.05,34.5,0.1,3,4,1,0.4,,,,,outro
CS_AT,0.05,230,0.1,3,4,1,0.4,,,,,outro
disjuntores_AT,0.05,230,0.1,3,4,1,0.4,,,,,outro
0,0.05,34.5,0.1,3,1,1,,,,,,conector
